Country Name,Country Code,Series Name,Series Code,1980 [YR1980],2000 [YR2000],2010 [YR2010],2022 [YR2022]
Tuvalu,TUV,"Population, total",SP.POP.TOTL,7731,9638,10550,11312
Uganda,UGA,"Population, total",SP.POP.TOTL,13284026,24020697,32341728,47249585
Ukraine,UKR,"Population, total",SP.POP.TOTL,49973920,49176500,45870741,38000000
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,1014048,3275333,8481771,9441129
United Kingdom,GBR,"Population, total",SP.POP.TOTL,56314216,58892514,62766365,66971411
United States,USA,"Population, total",SP.POP.TOTL,227225000,282162411,309327143,333287557
Uruguay,URY,"Population, total",SP.POP.TOTL,2953750,3292224,3352651,3422794
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,15947129,24650400,28562400,35648100
Vanuatu,VUT,"Population, total",SP.POP.TOTL,118156,192074,245453,326740
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,15210443,24427729,28715022,28301696
Viet Nam,VNM,"Population, total",SP.POP.TOTL,52968270,79001142,87411012,98186856
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,99636,108642,108357,105413
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,..,2922153,3786161,5043612
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,9204938,18628700,24743946,33696614
Zambia,ZMB,"Population, total",SP.POP.TOTL,5720438,9891136,13792086,20017675
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,7049926,11834676,12839771,16320537
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 10/26/2023,,,,,,,
